:START_ID,:END_ID,:TYPE
Proj_1,Proc_1,HAS_PROCESS
Proc_1,Risk_1,ENCOUNTERS
Risk_1,Lesson_1,LEARNED_AS
Risk_1,Strat_1,MITIGATED_BY
Proc_1,Lesson_1,MUST_CHECK
Proj_1,Proc_2,HAS_PROCESS
Proc_2,Risk_2,ENCOUNTERS
Risk_2,Lesson_2,LEARNED_AS
Risk_2,Strat_2,MITIGATED_BY
Proc_2,Lesson_2,MUST_CHECK
Proj_2,Proc_3,HAS_PROCESS
Proc_3,Risk_3,ENCOUNTERS
Risk_3,Lesson_3,LEARNED_AS
Risk_3,Strat_3,MITIGATED_BY
Proc_3,Lesson_3,MUST_CHECK
Proj_2,Proc_4,HAS_PROCESS
Proc_4,Risk_4,ENCOUNTERS
Risk_4,Lesson_4,LEARNED_AS
Risk_4,Strat_4,MITIGATED_BY
Proc_4,Lesson_4,MUST_CHECK
Proj_3,Proc_5,HAS_PROCESS
Proc_5,Risk_5,ENCOUNTERS
Risk_5,Lesson_5,LEARNED_AS
Risk_5,Strat_5,MITIGATED_BY
Proc_5,Lesson_5,MUST_CHECK
Proj_4,Proc_6,HAS_PROCESS
Proc_6,Risk_6,ENCOUNTERS
Risk_6,Lesson_6,LEARNED_AS
Risk_6,Strat_6,MITIGATED_BY
Proc_6,Lesson_6,MUST_CHECK
Proj_5,Proc_7,HAS_PROCESS
Proc_7,Risk_7,ENCOUNTERS
Risk_7,Lesson_7,LEARNED_AS
Risk_7,Strat_7,MITIGATED_BY
Proc_7,Lesson_7,MUST_CHECK
Proj_5,Proc_8,HAS_PROCESS
Proc_8,Risk_8,ENCOUNTERS
Risk_8,Lesson_8,LEARNED_AS
Risk_8,Strat_8,MITIGATED_BY
Proc_8,Lesson_8,MUST_CHECK
Proj_6,Proc_9,HAS_PROCESS
Proc_9,Risk_9,ENCOUNTERS
Risk_9,Lesson_9,LEARNED_AS
Risk_9,Strat_9,MITIGATED_BY
Proc_9,Lesson_9,MUST_CHECK
Proj_7,Proc_10,HAS_PROCESS
Proc_10,Risk_10,ENCOUNTERS
Risk_10,Lesson_10,LEARNED_AS
Risk_10,Strat_10,MITIGATED_BY
Proc_10,Lesson_10,MUST_CHECK
