id:ID,name,:LABEL
Proj_001,평택 브레인시티 1단계,Project
Proj_002,서울고덕강일지구 방음시설,Project
Proj_003,안성구리 광역상수도 이설공사,Project
Proj_004,화양전력구,Project
Proj_005,양주회천 택지개발사업,Project
Proj_006,김포-관산 도로,Project
Proj_007,옥동-농소 도로,Project
Proj_008,상주-영천 고속도로 1공구,Project
Proj_009,노포북정 3공구,Project
Proj_010,오남수동도로,Project
Proj_011,새만금전주 6공구,Project
Proj_012,수인선 2-2,Project
Proj_013,새만금전주 5공구,Project
Proj_014,진접선 3공구,Project
Proj_015,삼성-동탄 2공구,Project
Proj_016,평화의댐 치수,Project
Proj_017,울릉도일주도로,Project
Proj_018,부산명지 택지,Project
Proj_019,서울고덕 강일,Project
Proj_020,오남수동 도로,Project
Proj_021,성남복정 택지,Project
Proj_022,평택 화양지구,Project
Proj_023,칠북-북면 도로,Project
Proj_024,광양시 우회도로,Project
Proj_025,여수시우회도로,Project
Proj_026,칠북-북면간 도로,Project
Proj_027,평화의댐 치수능력증대,Project
Proj_028,서울지하철 923공구,Project
Proj_029,안동댐비상여수로,Project
Proj_030,부산외곽순환고속 9공구,Project
Proj_031,웅동-장유 국도확장,Project
Proj_032,인천공항철도연계시설확충,Project
Proj_033,포승-평택철도 1공구,Project
Proj_034,노포북정3공구,Project
Proj_035,사상하단4공구,Project
Proj_036,서해선 홍성-송산 5공구,Project
Proj_037,서해선 홍성-송산 전철 5공구,Project
Proj_038,김포도시철도 3공구,Project
Proj_039,울산~포항 전철 2공구,Project
Proj_040,동대구-영천전철 4공구,Project
Proj_041,도담-영천전철 6공구,Project
Proj_042,시흥장현지구 1공구,Project
Proj_043,안성-구리고속 11공구,Project
Proj_044,울릉도일주도로2,Project
Proj_045,전주-남원1공구,Project
Proj_046,울릉공항,Project
Proj_047,충주댐치수능력증대,Project
Proj_048,사상하단 4공구 등,Project
Proj_049,사상하단/칠북-북면 등,Project
Proj_050,울릉도일주/시흥장현 등,Project
Proj_051,새만금-전주 7공구 등,Project
Proj_052,진접선 3공구 등,Project
Proj_053,포항시우회도로 등,Project
Proj_054,오남수동도로 등,Project
Proj_055,동대구-영천 4공구 등,Project
Proj_056,칠북-북면 도로 등,Project
Proj_057,칠북-북면/예천양수 등,Project
Proj_058,서울지하철 923공구 등,Project
Proj_059,칠북-북면 / 성남복정 등,Project
Proj_060,터널 현장 공통,Project
Proj_061,수원외곽 / 양주회천 등,Project
Proj_062,고군산 2공구 / 영암-해남 등,Project
Proj_063,광명전력구,Project
Proj_064,GTX-A 6공구,Project
Proj_065,인천공항철도연계,Project
Proj_066,에코델타시티 2-1,Project
Proj_067,삼성-동탄 GTX 2공구,Project
