:START_ID,:END_ID,:TYPE
G_011,M_004,REQUIRES
G_010,M_004,REQUIRES
G_005,M_004,REQUIRES
G_008,M_001,REQUIRES
G_006,M_003,REQUIRES
G_004,M_007,REQUIRES
G_006,M_001,REQUIRES
G_014,M_001,REQUIRES
G_005,M_001,REQUIRES
G_013,M_001,REQUIRES
G_002,M_007,REQUIRES
G_002,M_004,REQUIRES
G_004,M_004,REQUIRES
G_015,M_004,REQUIRES
G_013,M_003,REQUIRES
G_013,M_007,REQUIRES
G_012,M_003,REQUIRES
G_012,M_007,REQUIRES
G_014,M_003,REQUIRES
G_014,M_007,REQUIRES
G_009,M_001,REQUIRES
G_009,M_007,REQUIRES
G_005,M_002,REQUIRES
G_006,M_002,REQUIRES
G_010,M_007,REQUIRES
G_006,M_004,REQUIRES
G_005,M_007,REQUIRES
