:START_ID,:END_ID,:TYPE
G_001,Risk_004,TRIGGER
G_002,Risk_011,TRIGGER
G_003,Risk_014,TRIGGER
G_004,Risk_015,TRIGGER
G_002,Risk_016,TRIGGER
G_004,Risk_016,TRIGGER
G_005,Risk_025,TRIGGER
G_005,Risk_030,TRIGGER
G_006,Risk_030,TRIGGER
G_004,Risk_031,TRIGGER
G_007,Risk_033,TRIGGER
G_008,Risk_033,TRIGGER
G_009,Risk_040,TRIGGER
G_005,Risk_041,TRIGGER
G_006,Risk_041,TRIGGER
G_010,Risk_043,TRIGGER
G_011,Risk_051,TRIGGER
G_010,Risk_051,TRIGGER
G_005,Risk_051,TRIGGER
G_011,Risk_053,TRIGGER
G_009,Risk_053,TRIGGER
G_012,Risk_053,TRIGGER
G_011,Risk_055,TRIGGER
G_004,Risk_055,TRIGGER
G_008,Risk_056,TRIGGER
G_005,Risk_057,TRIGGER
G_006,Risk_057,TRIGGER
G_011,Risk_058,TRIGGER
G_006,Risk_058,TRIGGER
G_005,Risk_061,TRIGGER
G_004,Risk_063,TRIGGER
G_013,Risk_066,TRIGGER
G_011,Risk_067,TRIGGER
G_003,Risk_069,TRIGGER
G_005,Risk_071,TRIGGER
G_005,Risk_074,TRIGGER
G_004,Risk_074,TRIGGER
G_006,Risk_078,TRIGGER
G_009,Risk_080,TRIGGER
G_012,Risk_080,TRIGGER
G_004,Risk_086,TRIGGER
G_005,Risk_087,TRIGGER
G_006,Risk_088,TRIGGER
G_004,Risk_089,TRIGGER
G_004,Risk_094,TRIGGER
G_004,Risk_098,TRIGGER
G_005,Risk_100,TRIGGER
G_004,Risk_100,TRIGGER
G_014,Risk_100,TRIGGER
G_004,Risk_101,TRIGGER
G_014,Risk_101,TRIGGER
G_005,Risk_103,TRIGGER
G_004,Risk_103,TRIGGER
G_014,Risk_103,TRIGGER
G_004,Risk_111,TRIGGER
G_006,Risk_115,TRIGGER
G_014,Risk_125,TRIGGER
G_014,Risk_126,TRIGGER
G_005,Risk_127,TRIGGER
G_006,Risk_127,TRIGGER
G_013,Risk_129,TRIGGER
G_005,Risk_130,TRIGGER
G_011,Risk_133,TRIGGER
G_006,Risk_133,TRIGGER
G_014,Risk_136,TRIGGER
G_012,Risk_137,TRIGGER
G_015,Risk_137,TRIGGER
G_004,Risk_137,TRIGGER
G_006,Risk_138,TRIGGER
G_008,Risk_139,TRIGGER
G_011,Risk_140,TRIGGER
G_013,Risk_140,TRIGGER
G_009,Risk_140,TRIGGER
G_012,Risk_140,TRIGGER
G_002,Risk_141,TRIGGER
G_004,Risk_141,TRIGGER
G_011,Risk_143,TRIGGER
G_002,Risk_143,TRIGGER
G_004,Risk_143,TRIGGER
G_015,Risk_143,TRIGGER
G_004,Risk_144,TRIGGER
