:START_ID,:END_ID,:TYPE
L_001,Risk_003,OCCURS_AT
L_002,Risk_009,OCCURS_AT
L_002,Risk_013,OCCURS_AT
L_001,Risk_038,OCCURS_AT
L_002,Risk_041,OCCURS_AT
L_003,Risk_046,OCCURS_AT
L_002,Risk_049,OCCURS_AT
L_002,Risk_051,OCCURS_AT
L_002,Risk_052,OCCURS_AT
L_002,Risk_064,OCCURS_AT
L_002,Risk_065,OCCURS_AT
L_002,Risk_066,OCCURS_AT
L_002,Risk_067,OCCURS_AT
L_002,Risk_069,OCCURS_AT
L_004,Risk_082,OCCURS_AT
L_002,Risk_088,OCCURS_AT
L_002,Risk_113,OCCURS_AT
L_002,Risk_118,OCCURS_AT
L_001,Risk_122,OCCURS_AT
L_004,Risk_150,OCCURS_AT
L_002,Risk_186,OCCURS_AT
L_002,Risk_198,OCCURS_AT
L_002,Risk_220,OCCURS_AT
L_002,Risk_235,OCCURS_AT
L_005,Risk_238,OCCURS_AT
L_002,Risk_244,OCCURS_AT
L_002,Risk_256,OCCURS_AT
L_002,Risk_262,OCCURS_AT
L_002,Risk_288,OCCURS_AT
L_002,Risk_304,OCCURS_AT
