:START_ID,:END_ID,:TYPE
M_001,Risk_009,ASSOCIATED_WITH
M_001,Risk_010,ASSOCIATED_WITH
M_001,Risk_021,ASSOCIATED_WITH
M_002,Risk_031,ASSOCIATED_WITH
M_003,Risk_032,ASSOCIATED_WITH
M_001,Risk_034,ASSOCIATED_WITH
M_005,Risk_038,ASSOCIATED_WITH
M_001,Risk_045,ASSOCIATED_WITH
M_004,Risk_050,ASSOCIATED_WITH
M_004,Risk_052,ASSOCIATED_WITH
M_001,Risk_052,ASSOCIATED_WITH
M_001,Risk_054,ASSOCIATED_WITH
M_004,Risk_055,ASSOCIATED_WITH
M_001,Risk_056,ASSOCIATED_WITH
M_004,Risk_058,ASSOCIATED_WITH
M_004,Risk_062,ASSOCIATED_WITH
M_004,Risk_069,ASSOCIATED_WITH
M_004,Risk_075,ASSOCIATED_WITH
M_002,Risk_075,ASSOCIATED_WITH
M_001,Risk_077,ASSOCIATED_WITH
M_001,Risk_084,ASSOCIATED_WITH
M_006,Risk_089,ASSOCIATED_WITH
M_001,Risk_105,ASSOCIATED_WITH
M_004,Risk_112,ASSOCIATED_WITH
M_001,Risk_112,ASSOCIATED_WITH
M_001,Risk_113,ASSOCIATED_WITH
M_001,Risk_114,ASSOCIATED_WITH
M_001,Risk_115,ASSOCIATED_WITH
M_001,Risk_116,ASSOCIATED_WITH
M_001,Risk_117,ASSOCIATED_WITH
M_001,Risk_118,ASSOCIATED_WITH
M_001,Risk_119,ASSOCIATED_WITH
M_001,Risk_121,ASSOCIATED_WITH
M_001,Risk_122,ASSOCIATED_WITH
M_001,Risk_123,ASSOCIATED_WITH
M_004,Risk_124,ASSOCIATED_WITH
M_001,Risk_124,ASSOCIATED_WITH
M_001,Risk_125,ASSOCIATED_WITH
M_001,Risk_126,ASSOCIATED_WITH
M_001,Risk_127,ASSOCIATED_WITH
M_001,Risk_129,ASSOCIATED_WITH
M_001,Risk_130,ASSOCIATED_WITH
M_001,Risk_131,ASSOCIATED_WITH
M_008,Risk_131,ASSOCIATED_WITH
M_004,Risk_132,ASSOCIATED_WITH
M_001,Risk_132,ASSOCIATED_WITH
M_001,Risk_134,ASSOCIATED_WITH
M_001,Risk_136,ASSOCIATED_WITH
M_004,Risk_137,ASSOCIATED_WITH
M_004,Risk_138,ASSOCIATED_WITH
M_001,Risk_138,ASSOCIATED_WITH
M_001,Risk_139,ASSOCIATED_WITH
M_004,Risk_141,ASSOCIATED_WITH
M_007,Risk_145,ASSOCIATED_WITH
M_004,Risk_146,ASSOCIATED_WITH
M_001,Risk_146,ASSOCIATED_WITH
M_004,Risk_150,ASSOCIATED_WITH
M_004,Risk_152,ASSOCIATED_WITH
M_001,Risk_152,ASSOCIATED_WITH
M_004,Risk_153,ASSOCIATED_WITH
M_004,Risk_155,ASSOCIATED_WITH
M_004,Risk_157,ASSOCIATED_WITH
M_004,Risk_158,ASSOCIATED_WITH
M_005,Risk_158,ASSOCIATED_WITH
M_004,Risk_160,ASSOCIATED_WITH
M_004,Risk_161,ASSOCIATED_WITH
M_004,Risk_162,ASSOCIATED_WITH
M_004,Risk_163,ASSOCIATED_WITH
M_004,Risk_164,ASSOCIATED_WITH
M_004,Risk_165,ASSOCIATED_WITH
M_004,Risk_166,ASSOCIATED_WITH
M_004,Risk_168,ASSOCIATED_WITH
M_004,Risk_169,ASSOCIATED_WITH
M_004,Risk_170,ASSOCIATED_WITH
M_002,Risk_170,ASSOCIATED_WITH
M_004,Risk_171,ASSOCIATED_WITH
M_002,Risk_173,ASSOCIATED_WITH
M_002,Risk_175,ASSOCIATED_WITH
M_002,Risk_176,ASSOCIATED_WITH
M_001,Risk_178,ASSOCIATED_WITH
M_002,Risk_178,ASSOCIATED_WITH
M_002,Risk_180,ASSOCIATED_WITH
M_002,Risk_181,ASSOCIATED_WITH
M_004,Risk_183,ASSOCIATED_WITH
M_002,Risk_184,ASSOCIATED_WITH
M_004,Risk_189,ASSOCIATED_WITH
M_004,Risk_191,ASSOCIATED_WITH
M_001,Risk_197,ASSOCIATED_WITH
M_001,Risk_199,ASSOCIATED_WITH
M_001,Risk_200,ASSOCIATED_WITH
M_004,Risk_205,ASSOCIATED_WITH
M_007,Risk_209,ASSOCIATED_WITH
M_001,Risk_211,ASSOCIATED_WITH
M_002,Risk_211,ASSOCIATED_WITH
M_001,Risk_219,ASSOCIATED_WITH
M_001,Risk_221,ASSOCIATED_WITH
M_006,Risk_239,ASSOCIATED_WITH
M_005,Risk_240,ASSOCIATED_WITH
M_004,Risk_252,ASSOCIATED_WITH
M_007,Risk_255,ASSOCIATED_WITH
M_004,Risk_259,ASSOCIATED_WITH
M_007,Risk_269,ASSOCIATED_WITH
M_001,Risk_283,ASSOCIATED_WITH
M_004,Risk_315,ASSOCIATED_WITH
