:START_ID,:END_ID,:TYPE
Proc_001,M_001,USES
Proc_002,M_002,USES
Proc_002,M_003,USES
Proc_002,M_004,USES
Proc_002,M_001,USES
Proc_002,M_005,USES
Proc_003,M_004,USES
Proc_003,M_002,USES
Proc_003,M_001,USES
Proc_002,M_006,USES
Proc_002,M_007,USES
Proc_004,M_001,USES
Proc_004,M_004,USES
Proc_004,M_008,USES
Proc_004,M_007,USES
Proc_004,M_003,USES
Proc_005,M_004,USES
Proc_005,M_001,USES
Proc_005,M_005,USES
Proc_005,M_002,USES
Proc_005,M_007,USES
Proc_005,M_003,USES
Proc_006,M_002,USES
Proc_006,M_006,USES
Proc_006,M_005,USES
Proc_006,M_004,USES
Proc_006,M_007,USES
Proc_007,M_001,USES
