:START_ID,:END_ID,:TYPE
Proj_001,Risk_001,HAS_RISK_CASE
Proj_002,Risk_002,HAS_RISK_CASE
Proj_003,Risk_003,HAS_RISK_CASE
Proj_004,Risk_004,HAS_RISK_CASE
Proj_005,Risk_005,HAS_RISK_CASE
Proj_006,Risk_006,HAS_RISK_CASE
Proj_007,Risk_007,HAS_RISK_CASE
Proj_008,Risk_008,HAS_RISK_CASE
Proj_009,Risk_009,HAS_RISK_CASE
Proj_010,Risk_010,HAS_RISK_CASE
Proj_011,Risk_011,HAS_RISK_CASE
Proj_012,Risk_012,HAS_RISK_CASE
Proj_013,Risk_013,HAS_RISK_CASE
Proj_014,Risk_014,HAS_RISK_CASE
Proj_015,Risk_015,HAS_RISK_CASE
Proj_011,Risk_016,HAS_RISK_CASE
Proj_006,Risk_017,HAS_RISK_CASE
Proj_010,Risk_018,HAS_RISK_CASE
Proj_011,Risk_019,HAS_RISK_CASE
Proj_016,Risk_020,HAS_RISK_CASE
Proj_017,Risk_021,HAS_RISK_CASE
Proj_018,Risk_022,HAS_RISK_CASE
Proj_019,Risk_023,HAS_RISK_CASE
Proj_020,Risk_024,HAS_RISK_CASE
Proj_006,Risk_025,HAS_RISK_CASE
Proj_021,Risk_026,HAS_RISK_CASE
Proj_007,Risk_027,HAS_RISK_CASE
Proj_022,Risk_028,HAS_RISK_CASE
Proj_023,Risk_029,HAS_RISK_CASE
Proj_024,Risk_030,HAS_RISK_CASE
Proj_010,Risk_031,HAS_RISK_CASE
Proj_025,Risk_032,HAS_RISK_CASE
Proj_026,Risk_033,HAS_RISK_CASE
Proj_027,Risk_034,HAS_RISK_CASE
Proj_010,Risk_035,HAS_RISK_CASE
Proj_010,Risk_036,HAS_RISK_CASE
Proj_026,Risk_037,HAS_RISK_CASE
Proj_028,Risk_038,HAS_RISK_CASE
Proj_005,Risk_039,HAS_RISK_CASE
Proj_029,Risk_040,HAS_RISK_CASE
Proj_030,Risk_041,HAS_RISK_CASE
Proj_031,Risk_042,HAS_RISK_CASE
Proj_032,Risk_043,HAS_RISK_CASE
