:START_ID,:END_ID,:TYPE
Proj_001,Strat_001,APPLIED_STRATEGY
Proj_002,Strat_002,APPLIED_STRATEGY
Proj_003,Strat_003,APPLIED_STRATEGY
Proj_004,Strat_004,APPLIED_STRATEGY
Proj_005,Strat_005,APPLIED_STRATEGY
Proj_006,Strat_006,APPLIED_STRATEGY
Proj_007,Strat_007,APPLIED_STRATEGY
Proj_008,Strat_008,APPLIED_STRATEGY
Proj_009,Strat_009,APPLIED_STRATEGY
Proj_010,Strat_010,APPLIED_STRATEGY
Proj_011,Strat_011,APPLIED_STRATEGY
Proj_012,Strat_012,APPLIED_STRATEGY
Proj_013,Strat_013,APPLIED_STRATEGY
Proj_014,Strat_014,APPLIED_STRATEGY
Proj_015,Strat_015,APPLIED_STRATEGY
Proj_011,Strat_016,APPLIED_STRATEGY
Proj_006,Strat_017,APPLIED_STRATEGY
Proj_010,Strat_018,APPLIED_STRATEGY
Proj_011,Strat_019,APPLIED_STRATEGY
Proj_016,Strat_020,APPLIED_STRATEGY
Proj_017,Strat_021,APPLIED_STRATEGY
Proj_018,Strat_022,APPLIED_STRATEGY
Proj_019,Strat_023,APPLIED_STRATEGY
Proj_020,Strat_024,APPLIED_STRATEGY
Proj_006,Strat_025,APPLIED_STRATEGY
Proj_021,Strat_026,APPLIED_STRATEGY
Proj_007,Strat_027,APPLIED_STRATEGY
Proj_022,Strat_028,APPLIED_STRATEGY
Proj_023,Strat_029,APPLIED_STRATEGY
Proj_024,Strat_030,APPLIED_STRATEGY
Proj_010,Strat_031,APPLIED_STRATEGY
Proj_025,Strat_032,APPLIED_STRATEGY
Proj_026,Strat_033,APPLIED_STRATEGY
Proj_027,Strat_034,APPLIED_STRATEGY
Proj_010,Strat_035,APPLIED_STRATEGY
Proj_010,Strat_036,APPLIED_STRATEGY
Proj_026,Strat_037,APPLIED_STRATEGY
Proj_028,Strat_038,APPLIED_STRATEGY
Proj_005,Strat_039,APPLIED_STRATEGY
Proj_029,Strat_040,APPLIED_STRATEGY
Proj_030,Strat_041,APPLIED_STRATEGY
Proj_031,Strat_042,APPLIED_STRATEGY
Proj_032,Strat_043,APPLIED_STRATEGY
Proj_033,Strat_044,APPLIED_STRATEGY
Proj_034,Strat_045,APPLIED_STRATEGY
Proj_032,Strat_046,APPLIED_STRATEGY
Proj_035,Strat_047,APPLIED_STRATEGY
Proj_036,Strat_048,APPLIED_STRATEGY
Proj_037,Strat_049,APPLIED_STRATEGY
Proj_038,Strat_050,APPLIED_STRATEGY
Proj_038,Strat_051,APPLIED_STRATEGY
Proj_011,Strat_052,APPLIED_STRATEGY
Proj_039,Strat_053,APPLIED_STRATEGY
Proj_038,Strat_054,APPLIED_STRATEGY
Proj_028,Strat_055,APPLIED_STRATEGY
Proj_028,Strat_056,APPLIED_STRATEGY
Proj_040,Strat_057,APPLIED_STRATEGY
Proj_041,Strat_058,APPLIED_STRATEGY
Proj_013,Strat_059,APPLIED_STRATEGY
Proj_042,Strat_060,APPLIED_STRATEGY
Proj_030,Strat_061,APPLIED_STRATEGY
Proj_043,Strat_062,APPLIED_STRATEGY
Proj_028,Strat_063,APPLIED_STRATEGY
Proj_044,Strat_064,APPLIED_STRATEGY
Proj_045,Strat_065,APPLIED_STRATEGY
Proj_046,Strat_066,APPLIED_STRATEGY
Proj_047,Strat_067,APPLIED_STRATEGY
Proj_030,Strat_068,APPLIED_STRATEGY
Proj_048,Strat_069,APPLIED_STRATEGY
Proj_049,Strat_070,APPLIED_STRATEGY
Proj_050,Strat_071,APPLIED_STRATEGY
Proj_051,Strat_072,APPLIED_STRATEGY
Proj_052,Strat_073,APPLIED_STRATEGY
Proj_053,Strat_074,APPLIED_STRATEGY
Proj_054,Strat_075,APPLIED_STRATEGY
Proj_055,Strat_076,APPLIED_STRATEGY
Proj_056,Strat_077,APPLIED_STRATEGY
Proj_057,Strat_078,APPLIED_STRATEGY
Proj_058,Strat_079,APPLIED_STRATEGY
Proj_059,Strat_080,APPLIED_STRATEGY
Proj_060,Strat_081,APPLIED_STRATEGY
Proj_061,Strat_082,APPLIED_STRATEGY
Proj_062,Strat_083,APPLIED_STRATEGY
Proj_046,Strat_084,APPLIED_STRATEGY
Proj_013,Strat_085,APPLIED_STRATEGY
Proj_028,Strat_086,APPLIED_STRATEGY
Proj_014,Strat_087,APPLIED_STRATEGY
Proj_030,Strat_088,APPLIED_STRATEGY
Proj_063,Strat_089,APPLIED_STRATEGY
Proj_064,Strat_090,APPLIED_STRATEGY
Proj_035,Strat_091,APPLIED_STRATEGY
Proj_065,Strat_092,APPLIED_STRATEGY
Proj_028,Strat_093,APPLIED_STRATEGY
Proj_066,Strat_094,APPLIED_STRATEGY
Proj_026,Strat_095,APPLIED_STRATEGY
Proj_067,Strat_096,APPLIED_STRATEGY
Proj_040,Strat_097,APPLIED_STRATEGY
Proj_011,Strat_098,APPLIED_STRATEGY
Proj_068,Strat_099,APPLIED_STRATEGY
Proj_069,Strat_100,APPLIED_STRATEGY
Proj_070,Strat_101,APPLIED_STRATEGY
Proj_071,Strat_102,APPLIED_STRATEGY
Proj_072,Strat_103,APPLIED_STRATEGY
Proj_073,Strat_104,APPLIED_STRATEGY
Proj_038,Strat_105,APPLIED_STRATEGY
Proj_020,Strat_106,APPLIED_STRATEGY
Proj_074,Strat_107,APPLIED_STRATEGY
Proj_075,Strat_108,APPLIED_STRATEGY
Proj_076,Strat_109,APPLIED_STRATEGY
Proj_077,Strat_110,APPLIED_STRATEGY
Proj_078,Strat_111,APPLIED_STRATEGY
Proj_010,Strat_112,APPLIED_STRATEGY
Proj_009,Strat_113,APPLIED_STRATEGY
Proj_079,Strat_114,APPLIED_STRATEGY
Proj_010,Strat_115,APPLIED_STRATEGY
Proj_010,Strat_116,APPLIED_STRATEGY
Proj_013,Strat_117,APPLIED_STRATEGY
Proj_009,Strat_118,APPLIED_STRATEGY
Proj_080,Strat_119,APPLIED_STRATEGY
Proj_028,Strat_120,APPLIED_STRATEGY
Proj_010,Strat_121,APPLIED_STRATEGY
Proj_081,Strat_122,APPLIED_STRATEGY
Proj_082,Strat_123,APPLIED_STRATEGY
Proj_011,Strat_124,APPLIED_STRATEGY
Proj_073,Strat_125,APPLIED_STRATEGY
Proj_010,Strat_126,APPLIED_STRATEGY
Proj_013,Strat_127,APPLIED_STRATEGY
Proj_083,Strat_128,APPLIED_STRATEGY
Proj_013,Strat_129,APPLIED_STRATEGY
Proj_040,Strat_130,APPLIED_STRATEGY
Proj_084,Strat_131,APPLIED_STRATEGY
Proj_085,Strat_132,APPLIED_STRATEGY
Proj_086,Strat_133,APPLIED_STRATEGY
Proj_026,Strat_134,APPLIED_STRATEGY
Proj_030,Strat_135,APPLIED_STRATEGY
Proj_031,Strat_136,APPLIED_STRATEGY
Proj_028,Strat_137,APPLIED_STRATEGY
Proj_011,Strat_138,APPLIED_STRATEGY
Proj_028,Strat_139,APPLIED_STRATEGY
Proj_039,Strat_140,APPLIED_STRATEGY
Proj_087,Strat_141,APPLIED_STRATEGY
Proj_036,Strat_142,APPLIED_STRATEGY
Proj_028,Strat_143,APPLIED_STRATEGY
Proj_010,Strat_144,APPLIED_STRATEGY
Proj_088,Strat_145,APPLIED_STRATEGY
Proj_011,Strat_146,APPLIED_STRATEGY
Proj_087,Strat_147,APPLIED_STRATEGY
Proj_089,Strat_148,APPLIED_STRATEGY
Proj_090,Strat_149,APPLIED_STRATEGY
Proj_090,Strat_150,APPLIED_STRATEGY
Proj_090,Strat_151,APPLIED_STRATEGY
Proj_011,Strat_152,APPLIED_STRATEGY
Proj_091,Strat_153,APPLIED_STRATEGY
Proj_038,Strat_154,APPLIED_STRATEGY
Proj_010,Strat_155,APPLIED_STRATEGY
Proj_011,Strat_156,APPLIED_STRATEGY
Proj_092,Strat_157,APPLIED_STRATEGY
Proj_093,Strat_158,APPLIED_STRATEGY
Proj_094,Strat_159,APPLIED_STRATEGY
Proj_027,Strat_160,APPLIED_STRATEGY
Proj_038,Strat_161,APPLIED_STRATEGY
Proj_095,Strat_162,APPLIED_STRATEGY
Proj_095,Strat_163,APPLIED_STRATEGY
Proj_096,Strat_164,APPLIED_STRATEGY
Proj_030,Strat_165,APPLIED_STRATEGY
Proj_073,Strat_166,APPLIED_STRATEGY
Proj_028,Strat_167,APPLIED_STRATEGY
Proj_041,Strat_168,APPLIED_STRATEGY
Proj_038,Strat_169,APPLIED_STRATEGY
Proj_028,Strat_170,APPLIED_STRATEGY
Proj_097,Strat_171,APPLIED_STRATEGY
Proj_073,Strat_172,APPLIED_STRATEGY
Proj_098,Strat_173,APPLIED_STRATEGY
Proj_069,Strat_174,APPLIED_STRATEGY
Proj_099,Strat_175,APPLIED_STRATEGY
Proj_100,Strat_176,APPLIED_STRATEGY
Proj_101,Strat_177,APPLIED_STRATEGY
Proj_011,Strat_178,APPLIED_STRATEGY
Proj_102,Strat_179,APPLIED_STRATEGY
Proj_103,Strat_180,APPLIED_STRATEGY
Proj_038,Strat_181,APPLIED_STRATEGY
Proj_087,Strat_182,APPLIED_STRATEGY
Proj_043,Strat_183,APPLIED_STRATEGY
Proj_028,Strat_184,APPLIED_STRATEGY
Proj_028,Strat_185,APPLIED_STRATEGY
Proj_010,Strat_186,APPLIED_STRATEGY
Proj_104,Strat_187,APPLIED_STRATEGY
Proj_028,Strat_188,APPLIED_STRATEGY
Proj_038,Strat_189,APPLIED_STRATEGY
Proj_105,Strat_190,APPLIED_STRATEGY
Proj_067,Strat_191,APPLIED_STRATEGY
Proj_040,Strat_192,APPLIED_STRATEGY
Proj_106,Strat_193,APPLIED_STRATEGY
Proj_013,Strat_194,APPLIED_STRATEGY
Proj_107,Strat_195,APPLIED_STRATEGY
Proj_067,Strat_196,APPLIED_STRATEGY
Proj_028,Strat_197,APPLIED_STRATEGY
Proj_030,Strat_198,APPLIED_STRATEGY
