:START_ID,:END_ID,:TYPE
Risk_001,I_001,AFFECTS
Risk_001,I_002,AFFECTS
Risk_003,I_002,AFFECTS
Risk_005,I_002,AFFECTS
Risk_006,I_002,AFFECTS
Risk_010,I_002,AFFECTS
Risk_012,I_002,AFFECTS
Risk_016,I_002,AFFECTS
Risk_023,I_002,AFFECTS
Risk_026,I_002,AFFECTS
Risk_029,I_002,AFFECTS
Risk_031,I_003,AFFECTS
Risk_033,I_003,AFFECTS
Risk_035,I_003,AFFECTS
Risk_037,I_001,AFFECTS
Risk_038,I_003,AFFECTS
Risk_040,I_003,AFFECTS
Risk_041,I_003,AFFECTS
Risk_042,I_003,AFFECTS
Risk_048,I_002,AFFECTS
Risk_049,I_003,AFFECTS
Risk_049,I_004,AFFECTS
Risk_050,I_003,AFFECTS
Risk_050,I_002,AFFECTS
Risk_050,I_004,AFFECTS
Risk_056,I_002,AFFECTS
Risk_060,I_003,AFFECTS
Risk_063,I_005,AFFECTS
Risk_066,I_003,AFFECTS
Risk_071,I_003,AFFECTS
Risk_071,I_004,AFFECTS
Risk_072,I_004,AFFECTS
Risk_073,I_005,AFFECTS
Risk_074,I_003,AFFECTS
Risk_076,I_004,AFFECTS
Risk_080,I_003,AFFECTS
Risk_082,I_003,AFFECTS
Risk_082,I_004,AFFECTS
Risk_085,I_005,AFFECTS
Risk_089,I_002,AFFECTS
Risk_089,I_004,AFFECTS
Risk_091,I_002,AFFECTS
Risk_092,I_004,AFFECTS
Risk_094,I_004,AFFECTS
Risk_095,I_003,AFFECTS
Risk_095,I_004,AFFECTS
Risk_097,I_004,AFFECTS
Risk_098,I_002,AFFECTS
Risk_099,I_003,AFFECTS
Risk_099,I_002,AFFECTS
Risk_099,I_004,AFFECTS
Risk_101,I_004,AFFECTS
Risk_102,I_003,AFFECTS
Risk_109,I_003,AFFECTS
Risk_111,I_003,AFFECTS
Risk_114,I_002,AFFECTS
Risk_117,I_002,AFFECTS
Risk_119,I_002,AFFECTS
Risk_121,I_005,AFFECTS
Risk_121,I_002,AFFECTS
Risk_122,I_002,AFFECTS
Risk_123,I_002,AFFECTS
Risk_131,I_005,AFFECTS
Risk_133,I_005,AFFECTS
Risk_136,I_005,AFFECTS
Risk_137,I_003,AFFECTS
Risk_141,I_003,AFFECTS
Risk_142,I_004,AFFECTS
Risk_145,I_003,AFFECTS
Risk_147,I_002,AFFECTS
Risk_149,I_003,AFFECTS
Risk_151,I_003,AFFECTS
Risk_167,I_003,AFFECTS
Risk_168,I_003,AFFECTS
Risk_170,I_003,AFFECTS
Risk_175,I_003,AFFECTS
Risk_176,I_003,AFFECTS
Risk_180,I_003,AFFECTS
Risk_182,I_003,AFFECTS
Risk_185,I_003,AFFECTS
Risk_187,I_003,AFFECTS
Risk_188,I_003,AFFECTS
Risk_189,I_003,AFFECTS
Risk_190,I_003,AFFECTS
Risk_190,I_004,AFFECTS
Risk_191,I_003,AFFECTS
Risk_192,I_004,AFFECTS
Risk_197,I_005,AFFECTS
Risk_197,I_002,AFFECTS
Risk_198,I_003,AFFECTS
Risk_202,I_004,AFFECTS
Risk_205,I_005,AFFECTS
Risk_210,I_003,AFFECTS
Risk_212,I_004,AFFECTS
Risk_213,I_003,AFFECTS
Risk_214,I_003,AFFECTS
Risk_215,I_004,AFFECTS
Risk_217,I_003,AFFECTS
Risk_220,I_003,AFFECTS
Risk_220,I_004,AFFECTS
Risk_224,I_004,AFFECTS
Risk_233,I_003,AFFECTS
Risk_242,I_003,AFFECTS
Risk_254,I_004,AFFECTS
Risk_264,I_002,AFFECTS
Risk_266,I_004,AFFECTS
Risk_267,I_003,AFFECTS
Risk_268,I_004,AFFECTS
Risk_270,I_003,AFFECTS
Risk_270,I_004,AFFECTS
Risk_280,I_003,AFFECTS
Risk_283,I_003,AFFECTS
Risk_289,I_003,AFFECTS
Risk_297,I_003,AFFECTS
Risk_299,I_003,AFFECTS
Risk_303,I_004,AFFECTS
Risk_310,I_004,AFFECTS
Risk_316,I_003,AFFECTS
