:START_ID,:END_ID,:TYPE
Strat_006,ROLE_001,ASSIGNED_TO
Strat_010,ROLE_002,ASSIGNED_TO
Strat_012,ROLE_002,ASSIGNED_TO
Strat_020,ROLE_002,ASSIGNED_TO
Strat_024,ROLE_002,ASSIGNED_TO
Strat_032,ROLE_002,ASSIGNED_TO
Strat_034,ROLE_002,ASSIGNED_TO
Strat_046,ROLE_003,ASSIGNED_TO
Strat_087,ROLE_003,ASSIGNED_TO
Strat_114,ROLE_002,ASSIGNED_TO
Strat_116,ROLE_002,ASSIGNED_TO
Strat_117,ROLE_004,ASSIGNED_TO
Strat_125,ROLE_002,ASSIGNED_TO
Strat_128,ROLE_002,ASSIGNED_TO
Strat_130,ROLE_005,ASSIGNED_TO
Strat_130,ROLE_002,ASSIGNED_TO
Strat_132,ROLE_002,ASSIGNED_TO
Strat_138,ROLE_002,ASSIGNED_TO
Strat_140,ROLE_002,ASSIGNED_TO
Strat_144,ROLE_002,ASSIGNED_TO
Strat_147,ROLE_002,ASSIGNED_TO
Strat_162,ROLE_002,ASSIGNED_TO
Strat_179,ROLE_005,ASSIGNED_TO
Strat_194,ROLE_002,ASSIGNED_TO
Strat_195,ROLE_002,ASSIGNED_TO
Strat_197,ROLE_002,ASSIGNED_TO
